real_category,Status,Channel,date,num_of_ticket
Complaint::All Massive Issue,Closed,Chat,2025-11-18,64
Complaint::All Massive Issue,Closed,Slack,2025-11-18,3
Complaint::All Massive Issue,Open,Chat,2025-11-18,4
Complaint::All::Massive Issue,Closed,Chat,2025-08-21,55
Complaint::All::Massive Issue,Closed,Chat,2025-08-26,30
Complaint::All::Massive Issue,Closed,Chat,2025-08-27,1
Complaint::All::Massive Issue,Closed,Chat,2025-09-01,91
Complaint::All::Massive Issue,Closed,Chat,2025-09-17,39
Complaint::All::Massive Issue,Closed,Chat,2025-10-01,133
Complaint::All::Massive Issue,Closed,Chat,2025-10-23,99
Complaint::All::Massive Issue,Closed,Chat,2025-10-31,28
Complaint::All::Massive Issue,Closed,Chat,2025-11-03,1
Complaint::All::Massive Issue,Closed,Chat,2025-11-15,62
Complaint::All::Massive Issue,Closed,Chat,2025-11-18,294
Complaint::All::Massive Issue,Closed,Email,2025-11-01,3
Complaint::All::Massive Issue,Closed,Instagram,2025-09-17,2
Complaint::All::Massive Issue,Closed,Slack,2025-09-01,13
Complaint::All::Massive Issue,Closed,Slack,2025-09-17,36
Complaint::All::Massive Issue,Closed,Slack,2025-09-23,1
Complaint::All::Massive Issue,Closed,Slack,2025-10-01,22
Complaint::All::Massive Issue,Closed,Slack,2025-10-02,38
Complaint::All::Massive Issue,Closed,Slack,2025-10-19,1
Complaint::All::Massive Issue,Closed,Slack,2025-10-20,79
Complaint::All::Massive Issue,Closed,Slack,2025-10-23,84
Complaint::All::Massive Issue,Closed,Slack,2025-10-31,32
Complaint::All::Massive Issue,Closed,Slack,2025-11-01,17
Complaint::All::Massive Issue,Closed,Slack,2025-11-04,4
Complaint::All::Massive Issue,Closed,Slack,2025-11-18,116
Complaint::Application::OTP Issue,Closed,Chat,2025-09-29,1
Complaint::Application::OTP Issue,Closed,Chat,2025-10-20,1
Complaint::Application::OTP Issue,Closed,Chat,2025-11-02,2
Complaint::Application::OTP Issue,Closed,Chat,2025-11-11,1
Complaint::Application::OTP Issue,Closed,Chat,2025-11-15,1
Complaint::Application::OTP Issue,Closed,Chat,2025-11-17,1
Complaint::Application::OTP Issue,Closed,Chat,2025-11-19,4
Complaint::Application::OTP Issue,Closed,Chat,2025-11-20,1
Complaint::Application::OTP Issue,Closed,Slack,2025-09-22,1
Complaint::Application::OTP Issue,Closed,Slack,2025-09-24,2
Complaint::Application::OTP Issue,Closed,Slack,2025-09-25,1
Complaint::Application::OTP Issue,Closed,Slack,2025-09-30,2
Complaint::Application::OTP Issue,Closed,Slack,2025-10-01,2
Complaint::Application::OTP Issue,Closed,Slack,2025-10-05,1
Complaint::Application::OTP Issue,Closed,Slack,2025-10-07,1
Complaint::Application::OTP Issue,Closed,Slack,2025-10-09,1
Complaint::Application::OTP Issue,Closed,Slack,2025-10-13,1
Complaint::Application::OTP Issue,Closed,Slack,2025-10-17,1
Complaint::Application::OTP Issue,Closed,Slack,2025-10-20,9
Complaint::Application::OTP Issue,Closed,Slack,2025-10-21,6
Complaint::Application::OTP Issue,Closed,Slack,2025-10-22,1
Complaint::Application::OTP Issue,Closed,Slack,2025-10-25,2
Complaint::Application::OTP Issue,Closed,Slack,2025-10-28,2
Complaint::Application::OTP Issue,Closed,Slack,2025-10-31,1
Complaint::Application::OTP Issue,Closed,Slack,2025-11-02,1
Complaint::Application::OTP Issue,Closed,Slack,2025-11-03,2
Complaint::Application::OTP Issue,Closed,Slack,2025-11-06,3
Complaint::Application::OTP Issue,Closed,Slack,2025-11-09,1
Complaint::Application::OTP Issue,Closed,Slack,2025-11-13,1
Complaint::Application::OTP Issue,Closed,Slack,2025-11-18,5
Complaint::Application::OTP Issue,Closed,Slack,2025-11-19,3
Complaint::Application::OTP Issue,Closed,Slack,2025-11-20,1
Complaint::Application::OTP Issue,NOBU FU,Slack,2025-11-19,1
Complaint::Application::OTP Issue,Waiting for Merchant Reply,Slack,2025-11-18,1
Complaint::Application::OTP Issue,Waiting for Merchant Reply,Slack,2025-11-20,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-09-20,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-09-24,2
Complaint::Application::Purchase Issue,Closed,Chat,2025-09-26,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-09-28,2
Complaint::Application::Purchase Issue,Closed,Chat,2025-09-29,2
Complaint::Application::Purchase Issue,Closed,Chat,2025-09-30,2
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-01,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-02,4
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-03,3
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-06,2
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-08,3
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-09,2
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-10,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-11,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-12,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-13,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-15,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-16,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-17,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-23,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-10-24,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-11-01,2
Complaint::Application::Purchase Issue,Closed,Chat,2025-11-06,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-11-07,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-11-09,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-11-10,1
Complaint::Application::Purchase Issue,Closed,Chat,2025-11-19,2
Complaint::Application::Purchase Issue,Closed,Slack,2025-09-24,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-09-26,2
Complaint::Application::Purchase Issue,Closed,Slack,2025-09-27,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-09-30,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-10-03,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-10-06,3
Complaint::Application::Purchase Issue,Closed,Slack,2025-10-08,3
Complaint::Application::Purchase Issue,Closed,Slack,2025-10-10,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-10-18,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-10-23,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-10-25,2
Complaint::Application::Purchase Issue,Closed,Slack,2025-10-29,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-10-30,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-11-01,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-11-03,2
Complaint::Application::Purchase Issue,Closed,Slack,2025-11-06,2
Complaint::Application::Purchase Issue,Closed,Slack,2025-11-08,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-11-10,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-11-11,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-11-15,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-11-17,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-11-18,1
Complaint::Application::Purchase Issue,Closed,Slack,2025-11-19,1
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-10-06,1
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-10-07,2
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-10-16,1
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-10-19,2
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-10-21,2
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-10-22,2
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-10-24,1
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-10-25,2
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-10-29,1
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-11-07,1
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-11-08,2
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-11-10,1
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-11-11,1
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-11-15,2
Complaint::BukuPay::Wrong Channel,Closed,Chat,2025-11-17,1
Complaint::BukuPay::Wrong Channel,Closed,Phone,2025-11-10,1
Complaint::BukuPay::Wrong Channel,Closed,Slack,2025-11-03,1
Complaint::BukuPay::Wrong Channel,Closed,Slack,2025-11-19,1
Complaint::BukuPay::Wrong Channel,Closed,Web,2025-10-29,1
Complaint::BukuPay::Wrong Channel,Closed,Web,2025-11-15,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-08-20,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-08-23,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-08-29,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-09-12,2
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-09-16,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-09-20,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-09-28,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-10-01,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-10-08,2
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-10-09,2
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-10-10,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-10-16,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-10-18,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-10-25,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-10-28,2
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-11-04,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-11-05,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-11-06,2
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-11-07,3
